City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
88,Bodo,NO,2022-09-06 04:43:54,67.28,14.405,50.04,71,75,10.36,broken clouds
89,Nanortalik,GL,2022-09-06 04:43:54,60.1432,-45.2371,43.54,95,100,8.75,overcast clouds
90,Georgetown,MY,2022-09-06 04:38:57,5.4112,100.3354,85.98,79,40,7.0,scattered clouds
91,Owando,CG,2022-09-06 04:43:55,-0.4819,15.8999,69.44,94,46,2.13,scattered clouds
92,Tuktoyaktuk,CA,2022-09-06 04:43:55,69.4541,-133.0374,37.4,87,100,21.85,overcast clouds
93,Upernavik,GL,2022-09-06 04:44:55,72.7868,-56.1549,40.3,88,97,26.89,overcast clouds
94,Aklavik,CA,2022-09-06 04:44:55,68.2191,-135.0107,38.5,77,95,12.59,overcast clouds
95,Tongliao,CN,2022-09-06 04:44:56,43.6125,122.2653,59.52,47,50,19.3,scattered clouds
96,Tiksi,RU,2022-09-06 04:44:56,71.6872,128.8694,48.78,51,65,13.8,broken clouds
97,Pisco,PE,2022-09-06 04:44:56,-13.7,-76.2167,60.85,82,100,2.3,overcast clouds
98,Bredasdorp,ZA,2022-09-06 04:44:57,-34.5322,20.0403,45.21,85,27,6.91,scattered clouds
99,Presidencia Roque Saenz Pena,AR,2022-09-06 04:44:57,-26.7852,-60.4388,49.98,54,0,4.32,clear sky
100,Bambous Virieux,MU,2022-09-06 04:44:57,-20.3428,57.7575,72.21,68,75,12.66,broken clouds
101,Vaini,TO,2022-09-06 04:44:58,-21.2,-175.2,78.96,89,75,10.36,broken clouds
102,Victoria,HK,2022-09-06 04:43:48,22.2855,114.1577,95.05,73,66,9.71,broken clouds
103,Zhigansk,RU,2022-09-06 04:44:58,66.7697,123.3711,42.71,95,100,17.63,light rain
104,Dali,CN,2022-09-06 04:44:58,25.7,100.1833,63.5,74,100,4.12,overcast clouds
105,Santa Cruz,BO,2022-09-06 04:41:43,-17.8,-63.1667,65.66,32,40,6.91,scattered clouds
106,Le Port,RE,2022-09-06 04:44:59,-20.9373,55.2919,73.4,63,10,6.64,clear sky
107,Rancho Palos Verdes,US,2022-09-06 04:44:59,33.7445,-118.387,86.72,80,0,3.0,clear sky
108,Busselton,AU,2022-09-06 04:44:59,-33.65,115.3333,55.78,72,82,7.45,moderate rain
109,Votorantim,BR,2022-09-06 04:45:00,-23.5467,-47.4378,62.33,86,84,6.46,light rain
110,Dingle,PH,2022-09-06 04:45:00,10.9995,122.6711,85.48,73,100,8.05,light rain
111,Ahipara,NZ,2022-09-06 04:45:00,-35.1667,173.1667,53.78,62,19,8.34,few clouds
112,Mingaora,PK,2022-09-06 04:45:00,34.7758,72.3625,79.66,65,0,2.24,clear sky
113,Stilfontein,ZA,2022-09-06 04:45:01,-26.8449,26.7683,46.81,38,78,5.23,broken clouds
114,Saint-Philippe,RE,2022-09-06 04:45:01,-21.3585,55.7679,72.99,71,37,12.88,scattered clouds
115,Macenta,GN,2022-09-06 04:45:01,8.5435,-9.471,67.42,99,99,1.79,overcast clouds
116,Astoria,US,2022-09-06 04:45:02,46.1879,-123.8313,60.85,85,4,5.66,clear sky
117,Lebu,CL,2022-09-06 04:45:02,-37.6167,-73.65,48.16,67,83,1.9,broken clouds
118,Mogok,MM,2022-09-06 04:45:03,22.9167,96.5,74.32,90,100,1.92,overcast clouds
119,Norman Wells,CA,2022-09-06 04:45:03,65.282,-126.8329,42.84,100,100,17.27,mist
120,Abu Zabad,SD,2022-09-06 04:45:04,12.35,29.25,74.98,82,36,9.24,scattered clouds
121,Santo Antonio Do Monte,BR,2022-09-06 04:45:04,-20.0872,-45.2936,60.62,76,27,7.76,scattered clouds
122,Kurumkan,RU,2022-09-06 04:45:04,54.3,110.3,63.14,44,57,2.44,broken clouds
123,Antofagasta,CL,2022-09-06 04:45:05,-23.65,-70.4,54.68,68,37,5.32,scattered clouds
124,Nabire,ID,2022-09-06 04:45:05,-3.3667,135.4833,84.88,68,65,4.88,broken clouds
125,Ambon,ID,2022-09-06 04:45:05,-3.6954,128.1814,86.14,70,40,8.05,scattered clouds
126,Ribeira Grande,PT,2022-09-06 04:45:06,38.5167,-28.7,74.79,86,90,8.88,light rain
127,Port Alfred,ZA,2022-09-06 04:45:06,-33.5906,26.891,52.18,70,26,1.99,scattered clouds
128,Lulea,SE,2022-09-06 04:45:06,65.5842,22.1547,46.47,81,0,8.05,clear sky
129,Souillac,MU,2022-09-06 04:45:07,-20.5167,57.5167,70.18,68,75,12.66,broken clouds
130,Ilulissat,GL,2022-09-06 04:42:10,69.2167,-51.1,41.02,87,100,5.75,overcast clouds
131,Port Lincoln,AU,2022-09-06 04:45:07,-34.7333,135.8667,59.34,62,2,14.0,clear sky
132,Shingu,JP,2022-09-06 04:45:07,33.7333,135.9833,81.27,90,100,13.4,overcast clouds
133,Avarua,CK,2022-09-06 04:45:08,-21.2078,-159.775,75.25,88,75,9.22,broken clouds
134,Puerto Escondido,MX,2022-09-06 04:45:08,15.85,-97.0667,79.14,76,96,3.44,overcast clouds
135,Jinxiang,CN,2022-09-06 04:45:09,27.4327,120.6062,83.14,60,52,8.66,broken clouds
136,Houma,US,2022-09-06 04:44:56,29.5958,-90.7195,77.0,94,96,0.0,overcast clouds
137,Marzuq,YE,2022-09-06 04:45:09,14.4,46.4667,85.95,35,100,1.48,overcast clouds
138,Los Llanos De Aridane,ES,2022-09-06 04:45:09,28.6585,-17.9182,67.75,91,75,9.22,broken clouds
139,Claremore,US,2022-09-06 04:46:10,36.3126,-95.6161,74.52,86,40,7.81,scattered clouds
140,Mahebourg,MU,2022-09-06 04:46:10,-20.4081,57.7,72.25,68,75,12.66,broken clouds
141,Kachiry,KZ,2022-09-06 04:46:10,53.0675,76.1036,82.63,26,98,7.29,overcast clouds
142,Sitarganj,IN,2022-09-06 04:46:10,28.9333,79.7,92.41,43,0,2.68,clear sky
143,Korla,CN,2022-09-06 04:46:11,41.7597,86.1469,86.99,12,0,8.48,clear sky
144,Angol,CL,2022-09-06 04:46:11,-37.8,-72.7167,49.51,76,93,2.1,overcast clouds
145,Caboolture,AU,2022-09-06 04:46:11,-27.0833,152.95,70.38,65,62,8.93,broken clouds
146,Esperance,AU,2022-09-06 04:46:12,-33.8667,121.9,57.45,77,67,14.25,broken clouds
147,Merrill,US,2022-09-06 04:46:12,45.1805,-89.6835,52.63,98,0,0.0,clear sky
148,Macau,MO,2022-09-06 04:44:02,22.2006,113.5461,94.8,55,0,5.75,clear sky
149,Two Rivers,US,2022-09-06 04:46:12,44.1539,-87.5693,64.89,88,100,1.01,overcast clouds
150,Shalya,RU,2022-09-06 04:46:13,57.2471,58.7298,44.89,67,100,3.24,overcast clouds
151,Tautira,PF,2022-09-06 04:46:13,-17.7333,-149.15,77.13,79,26,15.86,light rain
152,Dharchula,IN,2022-09-06 04:46:13,29.85,80.5333,81.25,63,2,5.91,clear sky
153,Masuguru,TZ,2022-09-06 04:46:14,-11.3667,38.4167,72.05,70,0,2.98,clear sky
154,Baykit,RU,2022-09-06 04:46:14,61.67,96.37,48.06,79,98,9.46,light rain
155,Bayir,TR,2022-09-06 04:46:15,37.2687,28.2167,70.32,64,0,5.73,clear sky
156,Austin,US,2022-09-06 04:43:15,30.2672,-97.7431,81.59,78,0,3.44,clear sky
157,Chenzhou,CN,2022-09-06 04:46:15,25.8,113.0333,94.6,26,54,4.61,broken clouds
158,Oriximina,BR,2022-09-06 04:46:15,-1.7656,-55.8661,79.16,58,56,1.7,broken clouds
159,Boyolangu,ID,2022-09-06 04:46:16,-8.1181,111.8935,83.32,68,53,9.19,broken clouds
160,Gayny,RU,2022-09-06 04:46:16,60.3071,54.3241,43.63,68,100,3.87,overcast clouds
161,Kokoda,PG,2022-09-06 04:46:16,-8.8785,147.7407,87.44,58,11,6.67,few clouds
162,Erdenet,MN,2022-09-06 04:46:16,49.0333,104.0833,68.43,42,4,6.6,clear sky
163,Mosquera,CO,2022-09-06 04:46:17,4.7059,-74.2302,57.29,72,75,3.44,broken clouds
164,Adwa,ET,2022-09-06 04:46:17,14.1646,38.8955,62.96,84,51,1.28,broken clouds
165,Airai,TL,2022-09-06 04:46:17,-8.9266,125.4092,78.46,37,40,2.75,scattered clouds
166,Huarmey,PE,2022-09-06 04:46:18,-10.0681,-78.1522,61.02,84,15,6.55,few clouds
167,San Ramon,US,2022-09-06 04:43:06,37.7799,-121.978,96.66,32,0,0.0,clear sky
168,Esfarayen,IR,2022-09-06 04:46:18,37.0765,57.5101,67.66,17,0,1.14,clear sky
169,Bilibino,RU,2022-09-06 04:46:18,68.0546,166.4372,37.74,83,100,4.18,overcast clouds
170,Store Heddinge,DK,2022-09-06 04:46:19,55.3097,12.3889,60.48,72,95,20.31,overcast clouds
171,Pacifica,US,2022-09-06 04:43:01,37.6138,-122.4869,89.44,78,20,5.75,mist
172,Riyadh,SA,2022-09-06 04:44:45,24.6877,46.7219,84.34,9,1,7.25,clear sky
173,San Patricio,US,2022-09-06 04:46:19,28.017,-97.5169,82.83,85,100,4.61,overcast clouds
174,Matara,LK,2022-09-06 04:45:54,5.9485,80.5353,80.4,85,98,14.43,moderate rain
175,Kavaratti,IN,2022-09-06 04:46:20,10.5669,72.642,76.59,90,100,19.3,overcast clouds
176,Tripoli,LY,2022-09-06 04:45:18,32.8752,13.1875,80.94,71,1,13.96,clear sky
177,Jalu,LY,2022-09-06 04:46:20,29.0331,21.5482,76.75,63,0,9.19,clear sky
178,Lompoc,US,2022-09-06 04:46:21,34.6391,-120.4579,82.78,64,0,3.44,clear sky
179,Lujiang,CN,2022-09-06 04:46:21,31.2581,117.2817,94.15,29,57,6.58,broken clouds
180,Narsaq,GL,2022-09-06 04:46:21,60.9167,-46.05,46.62,90,100,4.23,overcast clouds
181,East London,ZA,2022-09-06 04:46:22,-33.0153,27.9116,54.54,58,0,12.66,clear sky
182,Sakakah,SA,2022-09-06 04:46:22,29.9697,40.2064,80.17,17,0,5.97,clear sky
183,Sungairaya,ID,2022-09-06 04:47:22,0.7,108.9,86.94,63,100,5.66,overcast clouds
184,Kerema,PG,2022-09-06 04:47:23,-7.9631,145.7785,81.7,80,100,8.23,overcast clouds
185,Bethel,US,2022-09-06 04:47:23,41.3712,-73.414,73.76,90,100,3.44,mist
186,Sangar,RU,2022-09-06 04:47:23,63.9242,127.4739,46.24,86,100,12.01,overcast clouds
187,Barao De Melgaco,BR,2022-09-06 04:47:23,-16.1944,-55.9675,77.31,50,74,5.7,broken clouds
188,Sitka,US,2022-09-06 04:47:24,57.0531,-135.33,53.49,87,40,5.75,scattered clouds
189,Longyearbyen,SJ,2022-09-06 04:42:41,78.2186,15.6401,40.84,81,75,3.44,broken clouds
190,Northam,GB,2022-09-06 04:47:24,51.0333,-4.2167,59.4,95,66,14.03,broken clouds
191,Tuatapere,NZ,2022-09-06 04:47:24,-46.1333,167.6833,45.84,71,97,8.34,overcast clouds
192,Baghdad,IQ,2022-09-06 04:47:05,33.3406,44.4009,84.11,30,0,3.44,clear sky
193,Panguna,PG,2022-09-06 04:47:25,-6.3164,155.4848,79.81,66,46,2.93,light rain
194,Anadyr,RU,2022-09-06 04:47:25,64.75,177.4833,43.3,93,75,13.42,broken clouds
195,Cedar Lake,US,2022-09-06 04:47:25,41.3648,-87.4411,69.71,89,14,4.88,few clouds
196,Salalah,OM,2022-09-06 04:47:26,17.0151,54.0924,77.09,100,100,8.05,light intensity drizzle
197,Fort Abbas,PK,2022-09-06 04:47:26,29.1925,72.8536,94.42,40,1,10.98,clear sky
198,Cedar Falls,US,2022-09-06 04:45:50,42.5278,-92.4455,68.18,89,75,1.01,broken clouds
199,Hillsborough,US,2022-09-06 04:47:15,37.5741,-122.3794,89.73,68,20,5.75,few clouds
200,Saint-Augustin,CA,2022-09-06 04:47:27,51.226,-58.6502,50.58,79,96,5.91,overcast clouds
201,Kangaatsiaq,GL,2022-09-06 04:47:27,68.3065,-53.4641,39.92,88,100,21.25,overcast clouds
202,Renfrew,GB,2022-09-06 04:45:29,55.872,-4.3925,62.47,93,20,9.22,few clouds
203,Yellowknife,CA,2022-09-06 04:47:27,62.456,-114.3525,54.12,76,75,11.5,light rain
204,Sao Filipe,CV,2022-09-06 04:47:28,14.8961,-24.4956,79.65,79,100,2.06,overcast clouds
205,Maldonado,UY,2022-09-06 04:47:28,-34.6667,-54.9167,48.22,74,0,5.75,clear sky
206,Hirara,JP,2022-09-06 04:47:28,24.8,125.2833,84.47,89,75,10.36,broken clouds
207,Kodiak,US,2022-09-06 04:47:29,57.79,-152.4072,56.71,82,100,3.44,overcast clouds
208,Pemangkat,ID,2022-09-06 04:47:29,1.1667,108.9667,86.61,62,100,7.38,heavy intensity rain
209,Hokitika,NZ,2022-09-06 04:47:29,-42.7167,170.9667,44.78,58,0,1.54,clear sky
210,Ayr,GB,2022-09-06 04:47:29,55.4627,-4.6339,59.31,88,0,2.3,clear sky
211,Kizema,RU,2022-09-06 04:47:30,61.113,44.8302,44.04,97,100,3.44,overcast clouds
212,Kirakira,SB,2022-09-06 04:47:30,-10.4544,161.9205,83.86,73,14,10.02,few clouds
213,Nizwa,OM,2022-09-06 04:47:30,22.9333,57.5333,87.53,41,4,3.0,clear sky
214,Clyde River,CA,2022-09-06 04:47:31,70.4692,-68.5914,37.63,100,100,6.91,overcast clouds
215,North Bend,US,2022-09-06 04:47:31,43.4065,-124.2243,61.86,92,0,13.8,clear sky
216,Coahuayana,MX,2022-09-06 04:47:31,18.7333,-103.6833,74.73,96,100,4.23,overcast clouds
217,Lusambo,CD,2022-09-06 04:47:32,-4.9667,23.45,70.05,88,5,2.21,clear sky
218,Manta,EC,2022-09-06 04:47:32,-0.95,-80.7333,71.38,88,0,5.75,clear sky
219,Tocopilla,CL,2022-09-06 04:47:32,-22.092,-70.1979,60.57,64,19,5.5,few clouds
220,Kaeo,NZ,2022-09-06 04:47:32,-35.1,173.7833,58.32,45,25,5.95,scattered clouds
221,Tungor,RU,2022-09-06 04:47:33,53.3808,142.9564,59.13,84,99,12.55,overcast clouds
222,Tasiilaq,GL,2022-09-06 04:47:33,65.6145,-37.6368,39.36,93,96,6.51,overcast clouds
223,Castro,BR,2022-09-06 04:47:33,-24.7911,-50.0119,49.26,97,82,6.13,light rain
224,Sorland,NO,2022-09-06 04:47:34,67.667,12.6934,49.86,78,100,13.56,overcast clouds
225,Praia,CV,2022-09-06 04:47:34,14.9215,-23.5087,77.54,94,75,4.61,broken clouds
226,Vanimo,PG,2022-09-06 04:47:34,-2.6741,141.3028,85.87,65,81,9.62,broken clouds
227,Pangody,RU,2022-09-06 04:47:35,65.85,74.4859,41.05,91,100,10.07,light rain
228,Talara,PE,2022-09-06 04:47:35,-4.5772,-81.2719,63.27,88,62,13.62,broken clouds
229,Lavumisa,SZ,2022-09-06 04:47:35,-27.31,31.892,64.6,72,100,7.18,overcast clouds
230,Faanui,PF,2022-09-06 04:47:36,-16.4833,-151.75,78.4,75,13,17.78,few clouds
231,Harper,LR,2022-09-06 04:48:36,4.375,-7.7169,74.68,92,96,6.53,light rain
232,Bambanglipuro,ID,2022-09-06 04:48:36,-7.95,110.2833,82.53,72,60,15.08,broken clouds
233,Scarborough,GB,2022-09-06 04:45:29,54.2797,-0.4044,60.33,90,80,1.99,broken clouds
234,Mandi Bahauddin,PK,2022-09-06 04:44:11,32.5834,73.4843,85.51,54,29,6.24,scattered clouds
235,Emba,KZ,2022-09-06 04:48:37,48.8264,58.1442,55.42,58,81,13.04,broken clouds
236,Severo-Kurilsk,RU,2022-09-06 04:48:37,50.6789,156.125,55.81,88,94,7.99,overcast clouds
237,Pacific Grove,US,2022-09-06 04:46:31,36.6177,-121.9166,71.82,82,0,5.01,clear sky
238,Sao Luiz Gonzaga,BR,2022-09-06 04:48:37,-28.4083,-54.9608,57.52,97,100,2.89,overcast clouds
239,Kapurthala,IN,2022-09-06 04:48:38,31.3794,75.3847,86.32,63,86,4.34,overcast clouds
240,Platteville,US,2022-09-06 04:48:38,42.7342,-90.4785,68.23,100,0,8.05,clear sky
241,Vao,NC,2022-09-06 04:48:38,-22.6667,167.4833,67.51,60,100,8.68,light rain
242,Port Hawkesbury,CA,2022-09-06 04:46:20,45.6169,-61.3485,62.19,92,75,3.44,broken clouds
243,Pronsk,RU,2022-09-06 04:48:38,54.1048,39.6092,46.22,85,93,11.63,overcast clouds
244,Karratha,AU,2022-09-06 04:48:39,-20.7377,116.8463,78.55,29,0,11.14,clear sky
245,Kulhudhuffushi,MV,2022-09-06 04:48:39,6.6221,73.07,80.11,79,100,18.75,light rain
246,Rabaul,PG,2022-09-06 04:48:39,-4.1967,152.1721,86.49,63,85,11.41,overcast clouds
247,Bengkulu,ID,2022-09-06 04:48:40,-3.8004,102.2655,83.41,69,94,5.23,overcast clouds
248,Hasaki,JP,2022-09-06 04:48:40,35.7333,140.8333,95.29,78,80,17.05,broken clouds
249,Viedma,AR,2022-09-06 04:48:40,-40.8135,-62.9967,65.98,17,78,22.08,broken clouds
250,Saint-Louis,SN,2022-09-06 04:48:40,16.3333,-15.0,82.35,78,76,13.38,broken clouds
251,Pingliang,CN,2022-09-06 04:48:41,35.5392,106.6861,81.25,15,0,6.24,clear sky
252,Whitianga,NZ,2022-09-06 04:48:41,-36.8333,175.7,51.87,47,40,2.75,scattered clouds
253,Cabo San Lucas,MX,2022-09-06 04:46:47,22.8909,-109.9124,85.6,87,100,6.02,overcast clouds
254,Kumukh,RU,2022-09-06 04:48:41,42.1704,47.1161,50.04,96,98,2.82,light rain
255,Gabu,GW,2022-09-06 04:48:42,12.2833,-14.2167,72.82,99,65,4.23,light rain
256,Beyneu,KZ,2022-09-06 04:48:42,45.3167,55.2,60.06,45,91,19.42,overcast clouds
257,Guerrero Negro,MX,2022-09-06 04:48:42,27.9769,-114.0611,75.33,88,11,14.36,few clouds
258,Kondoa,TZ,2022-09-06 04:48:43,-4.9,35.7833,60.33,80,5,5.68,clear sky
259,La Ronge,CA,2022-09-06 04:48:43,55.1001,-105.2842,57.45,77,40,10.36,smoke
