City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
148,Vila Do Maio,CV,2022-08-30 20:09:17,15.1333,-23.2167,81.39,74,100,10.94
149,Hasaki,JP,2022-08-30 20:09:17,35.7333,140.8333,72.28,96,100,4.61
150,Kamina,CD,2022-08-30 20:09:18,-8.7386,24.9906,68.45,63,27,3.0
151,Kaabong,UG,2022-08-30 20:09:18,3.4836,34.1492,68.88,62,86,4.36
152,Nishihara,JP,2022-08-30 20:09:18,26.1842,127.7558,83.86,84,40,17.27
153,Broken Hill,AU,2022-08-30 20:09:19,-31.95,141.4333,42.33,76,0,8.99
154,Alyangula,AU,2022-08-30 20:09:19,-13.8483,136.4192,75.13,82,20,8.34
155,Rusape,ZW,2022-08-30 20:09:19,-18.5278,32.1284,54.86,82,12,11.21
156,Dong Xoai,VN,2022-08-30 20:09:20,11.5333,106.9167,74.5,96,99,2.62
157,Kiama,AU,2022-08-30 20:09:20,-34.6833,150.8667,55.0,79,3,3.0
158,Cabo San Lucas,MX,2022-08-30 20:08:06,22.8909,-109.9124,95.61,66,75,8.05
159,Mogadishu,SO,2022-08-30 20:05:22,2.0371,45.3438,75.79,85,6,19.08
160,Yabelo,ET,2022-08-30 20:09:20,4.8833,38.0833,65.26,53,77,8.84
161,Saldanha,ZA,2022-08-30 20:09:21,-33.0117,17.9442,58.15,47,0,19.53
162,Ormara,PK,2022-08-30 20:09:21,25.2088,64.6357,79.7,81,16,10.2
163,Katsuura,JP,2022-08-30 20:06:38,35.1333,140.3,75.22,92,93,6.69
164,Yamada,JP,2022-08-30 20:09:21,39.4667,141.95,67.84,96,100,1.72
165,Zhigansk,RU,2022-08-30 20:09:22,66.7697,123.3711,43.7,90,84,6.69
166,Santo Amaro Da Imperatriz,BR,2022-08-30 20:09:22,-27.6881,-48.7786,63.64,74,99,2.89
167,Queenstown,ZA,2022-08-30 20:09:22,-31.8976,26.8753,38.84,74,3,5.57
168,Lensk,RU,2022-08-30 20:09:23,60.7253,114.9278,38.48,93,100,13.89
169,Dali,CN,2022-08-30 20:09:23,25.7,100.1833,63.88,94,100,3.53
170,Shache,CN,2022-08-30 20:09:23,38.4167,77.2406,71.71,44,42,2.37
171,Riva,US,2022-08-30 20:09:24,38.9521,-76.578,95.14,61,0,17.27
172,Holt,US,2022-08-30 20:09:24,42.6406,-84.5153,77.43,56,40,18.41
173,Harper,LR,2022-08-30 20:09:20,4.375,-7.7169,76.12,84,49,10.33
174,Finnsnes,NO,2022-08-30 20:09:24,69.2296,17.9811,47.75,90,100,7.16
175,Poum,NC,2022-08-30 20:09:25,-20.2333,164.0167,72.46,66,36,14.83
176,Rawson,AR,2022-08-30 20:08:38,-43.3002,-65.1023,61.68,26,100,7.85
177,Georgetown,MY,2022-08-30 20:05:29,5.4112,100.3354,78.89,90,20,3.44
178,Piquete,BR,2022-08-30 20:09:25,-22.6136,-45.1761,69.08,51,100,5.41
179,Geraldton,AU,2022-08-30 20:06:53,-28.7667,114.6,43.21,87,0,8.05
180,Faya,SA,2022-08-30 20:09:25,18.3851,42.4509,72.12,26,16,9.86
181,Wanning,CN,2022-08-30 20:08:08,18.8003,110.3967,79.0,85,16,3.71
182,Grajau,BR,2022-08-30 20:09:26,-5.8194,-46.1386,97.39,19,86,6.55
183,Iskilip,TR,2022-08-30 20:09:26,40.7353,34.4739,74.37,62,0,7.52
184,Voznesenskoye,RU,2022-08-30 20:10:26,54.89,42.7569,66.36,62,1,5.21
185,Saint-Augustin,CA,2022-08-30 20:10:27,51.226,-58.6502,68.09,89,98,14.36
186,Nerja,ES,2022-08-30 20:10:27,36.7585,-3.8873,88.72,61,100,4.83
187,Caravelas,BR,2022-08-30 20:10:28,-17.7125,-39.2481,67.35,72,99,13.06
188,Esperance,AU,2022-08-30 20:10:28,-33.8667,121.9,47.03,73,5,6.2
189,Trelew,AR,2022-08-30 20:10:28,-43.249,-65.3051,68.5,15,100,6.85
190,Chuy,UY,2022-08-30 20:10:29,-33.6971,-53.4616,55.54,73,0,10.09
191,Benjamin Hill,MX,2022-08-30 20:10:29,30.1667,-111.1,92.21,47,5,6.26
192,La Ronge,CA,2022-08-30 20:10:29,55.1001,-105.2842,72.55,49,81,0.38
193,Zaterechnyy,RU,2022-08-30 20:10:30,44.7931,45.2097,78.06,30,0,9.13
194,Sicamous,CA,2022-08-30 20:10:30,50.8331,-118.9856,89.19,33,97,3.87
195,Chicama,PE,2022-08-30 20:10:30,-7.8447,-79.1469,63.14,62,26,10.02
196,Petropavlovsk-Kamchatskiy,RU,2022-08-30 20:10:30,53.0452,158.6483,52.39,82,20,4.47
197,Houston,US,2022-08-30 20:09:17,29.7633,-95.3633,91.94,63,0,10.36
198,Farmington,US,2022-08-30 20:10:31,36.7281,-108.2187,93.15,19,0,0.0
199,Ancud,CL,2022-08-30 20:10:31,-41.8697,-73.8203,51.22,79,100,5.46
200,Portland,US,2022-08-30 20:05:49,45.5234,-122.6762,97.63,35,20,10.36
201,Zenzeli,RU,2022-08-30 20:10:32,45.9241,47.0474,78.1,48,0,13.2
202,High Level,CA,2022-08-30 20:09:04,58.5169,-117.136,77.14,41,99,9.17
203,Alegrete,BR,2022-08-30 20:10:26,-29.7831,-55.7919,65.3,64,0,10.51
204,Nuuk,GL,2022-08-30 20:10:32,64.1835,-51.7216,39.81,93,75,23.0
205,Oussouye,SN,2022-08-30 20:10:32,12.485,-16.5469,77.61,87,100,14.38
206,Ganzhou,CN,2022-08-30 20:10:33,28.8184,115.4327,71.4,89,84,4.74
207,Qaanaaq,GL,2022-08-30 20:10:33,77.484,-69.3632,33.53,65,0,1.61
208,Nakusp,CA,2022-08-30 20:10:33,50.2499,-117.8023,89.94,30,82,2.28
209,Khatanga,RU,2022-08-30 20:10:34,71.9667,102.5,38.93,90,100,6.62
210,Riyadh,SA,2022-08-30 20:09:20,24.6877,46.7219,91.54,15,1,10.38
211,Laguna De Perlas,NI,2022-08-30 20:10:34,12.3429,-83.6712,83.3,74,83,4.9
212,Kruisfontein,ZA,2022-08-30 20:10:34,-34.0033,24.7314,47.88,73,22,3.36
213,Nikolskoye,RU,2022-08-30 20:10:35,59.7035,30.7861,53.87,95,100,14.32
214,Warmbad,NA,2022-08-30 20:10:35,-28.45,18.7333,63.5,18,0,15.52
215,Methoni,GR,2022-08-30 20:10:35,36.8197,21.7049,79.21,80,0,14.2
